Date,Channel,Sessions,Users,EngagementTime,PagesPerSession,Hour,SessionID,EngagedSession,1. Trends in Sessions and Users Over Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-04-2025,Organic,3,3,184.2278718,4.9,15,S0148,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0664,1,,,,,,,,,,,,,,,,,,,,,,,
26-04-2025,Organic,2,1,90.59453315,8.6,19,S0149,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0665,1,,,,,,,,,,,,,,,,,,,,,,,
18-05-2025,Email,1,2,394.4674587,2.4,18,S0150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0666,1,,,,,,,,,,,,,,,,,,,,,,,
17-05-2025,Email,1,3,445.7725003,1.2,9,S0151,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0670,1,,,,,,,,,,,,,,,,,,,,,,,
01-06-2025,Social,3,1,196.2201328,5,16,S0152,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0677,1,,,,,,,,,,,,,,,,,,,,,,,
08-06-2025,Referral,1,3,390.4512364,3.1,12,S0153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0678,1,,,,,,,,,,,,,,,,,,,,,,,
07-05-2025,Organic,1,1,243.1272355,1.4,12,S0154,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0680,1,,,,,,,,,,,,,,,,,,,,,,,
08-05-2025,Referral,1,2,430.7920611,7.5,6,S0155,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0690,1,,,,,,,,,,,,,,,,,,,,,,,
21-05-2025,Referral,3,3,127.5370122,2,9,S0156,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0691,1,,,,,,,,,,,,,,,,,,,,,,,
19-05-2025,Email,2,1,535.2268516,6.5,1,S0157,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0698,1,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Social,4,3,179.5716619,3.5,3,S0158,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0707,1,,,,,,,,,,,,,,,,,,,,,,,
24-05-2025,Paid,2,3,226.9937328,2.6,5,S0159,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0708,1,,,,,,,,,,,,,,,,,,,,,,,
06-05-2025,Social,4,3,44.27425173,4.4,23,S0160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0712,1,,,,,,,,,,,,,,,,,,,,,,,
11-05-2025,Social,1,3,75.79220527,8.2,17,S0161,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0719,1,,,,,,,,,,,,,,,,,,,,,,,
19-05-2025,Referral,2,1,314.3585226,4.5,22,S0162,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0728,1,,,,,,,,,,,,,,,,,,,,,,,
15-04-2025,Social,4,2,167.8796793,7.8,5,S0163,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0734,1,,,,,,,,,,,,,,,,,,,,,,,
19-05-2025,Organic,3,1,502.9333332,2.1,22,S0164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0737,1,,,,,,,,,,,,,,,,,,,,,,,
21-05-2025,Referral,3,1,18.66909931,8,16,S0165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0739,1,,,,,,,,,,,,,,,,,,,,,,,
31-05-2025,Organic,2,1,233.6654887,3.1,13,S0166,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0741,1,,,,,,,,,,,,,,,,,,,,,,,
28-04-2025,Paid,2,2,209.0338726,7.1,23,S0167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0742,1,,,,,,,,,,,,,,,,,,,,,,,
17-04-2025,Referral,1,3,21.40330224,6.1,10,S0168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0745,1,,,,,,,,,,,,,,,,,,,,,,,
15-04-2025,Paid,2,3,83.37735541,9.4,18,S0169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0746,0,,,,,,,,,,,,,,,,,,,,,,,
19-04-2025,Referral,1,3,254.0491782,4.5,1,S0170,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0752,1,,,,,,,,,,,,,,,,,,,,,,,
10-05-2025,Email,1,2,300.7901048,1.6,2,S0171,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0753,1,,,,,,,,,,,,,,,,,,,,,,,
08-06-2025,Social,3,3,248.5309509,1.2,10,S0172,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0761,1,,,,,,,,,,,,,,,,,,,,,,,
28-04-2025,Email,3,2,323.2532303,8.4,5,S0173,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0763,1,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Paid,4,3,361.1276882,5.7,13,S0174,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0765,1,,,,,,,,,,,,,,,,,,,,,,,
11-05-2025,Social,3,3,15.85505447,8,18,S0175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0770,1,,,,,,,,,,,,,,,,,,,,,,,
23-04-2025,Referral,3,1,283.8161441,3.1,15,S0176,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0772,1,,,,,,,,,,,,,,,,,,,,,,,
29-04-2025,Social,2,2,578.4645521,4.1,20,S0177,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0779,1,,,,,,,,,,,,,,,,,,,,,,,
29-04-2025,Organic,3,1,316.2290453,1.3,21,S0178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0783,1,,,,,,,,,,,,,,,,,,,,,,,
10-05-2025,Social,4,1,409.7499378,9.7,23,S0179,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0784,1,,,,,,,,,,,,,,,,,,,,,,,
26-05-2025,Organic,2,1,193.9996762,7,6,S0180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0787,1,,,,,,,,,,,,,,,,,,,,,,,
13-06-2025,Social,4,2,466.6549131,9.4,7,S0181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0794,1,,,,,,,,,,,,,,,,,,,,,,,
27-04-2025,Organic,3,2,466.0236743,3.4,18,S0182,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0802,1,,,,,,,,,,,,,,,,,,,,,,,
04-06-2025,Paid,4,3,317.5646681,6.5,19,S0183,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0803,1,,,,,,,,,,,,,,,,,,,,,,,
16-05-2025,Email,2,1,585.8481557,7.1,15,S0184,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0819,1,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Referral,1,3,84.07462671,3.9,21,S0185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0825,1,,,,,,,,,,,,,,,,,,,,,,,
02-06-2025,Social,4,1,19.99912228,8.6,6,S0186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0827,1,,,,,,,,,,,,,,,,,,,,,,,
05-06-2025,Email,4,2,464.3933449,9.5,8,S0187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0836,1,,,,,,,,,,,,,,,,,,,,,,,
16-05-2025,Referral,2,2,486.221767,9,12,S0188,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0840,1,,,,,,,,,,,,,,,,,,,,,,,
18-04-2025,Referral,2,2,80.92226518,7.7,0,S0189,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0842,1,,,,,,,,,,,,,,,,,,,,,,,
14-05-2025,Organic,4,1,166.6938714,3.5,7,S0190,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0843,1,,,,,,,,,,,,,,,,,,,,,,,
21-05-2025,Paid,3,2,20.35589439,3.5,23,S0191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0854,1,,,,,,,,,,,,,,,,,,,,,,,
07-05-2025,Paid,4,1,183.0520804,9.7,21,S0192,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0855,1,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Email,2,3,466.1537056,1.1,3,S0193,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0856,1,,,,,,,,,,,,,,,,,,,,,,,
29-05-2025,Paid,1,1,315.5967114,7.4,2,S0194,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0861,1,,,,,,,,,,,,,,,,,,,,,,,
29-04-2025,Social,1,3,215.3764,7.4,2,S0195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0868,1,,,,,,,,,,,,,,,,,,,,,,,
27-05-2025,Paid,3,1,229.326184,6.6,21,S0196,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0879,1,,,,,,,,,,,,,,,,,,,,,,,
13-05-2025,Email,4,3,10.79863917,9.9,12,S0197,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0880,1,,,,,,,,,,,,,,,,,,,,,,,
20-05-2025,Paid,1,2,186.8823113,3.8,7,S0198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0885,1,,,,,,,,,,,,,,,,,,,,,,,
27-04-2025,Social,4,3,391.4106576,4.1,6,S0199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0887,1,,,,,,,,,,,,,,,,,,,,,,,
16-05-2025,Organic,2,2,584.7747219,1.7,0,S0200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0900,1,,,,,,,,,,,,,,,,,,,,,,,
21-04-2025,Email,1,2,509.7658879,5,15,S0201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0901,1,,,,,,,,,,,,,,,,,,,,,,,
12-06-2025,Organic,3,3,23.92102914,3.3,5,S0202,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0904,1,,,,,,,,,,,,,,,,,,,,,,,
04-06-2025,Organic,2,1,540.1507568,4.1,6,S0203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0906,0,,,,,,,,,,,,,,,,,,,,,,,
06-05-2025,Organic,3,1,472.0870638,8.5,11,S0204,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0910,1,,,,,,,,,,,,,,,,,,,,,,,
12-05-2025,Referral,2,1,470.4219129,9.4,22,S0205,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0932,0,,,,,,,,,,,,,,,,,,,,,,,
16-04-2025,Referral,1,1,280.2174978,2.7,8,S0206,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0934,1,,,,,,,,,,,,,,,,,,,,,,,
26-05-2025,Organic,3,1,244.8231228,4.4,10,S0207,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0946,1,,,,,,,,,,,,,,,,,,,,,,,
29-05-2025,Email,3,2,188.72028,9.4,9,S0208,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0971,0,,,,,,,,,,,,,,,,,,,,,,,
10-06-2025,Social,2,1,48.75996678,1.6,20,S0209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0973,0,,,,,,,,,,,,,,,,,,,,,,,
06-06-2025,Social,3,2,144.6588645,1.8,0,S0210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0978,1,,,,,,,,,,,,,,,,,,,,,,,
20-04-2025,Paid,2,2,155.4961446,2.5,17,S0211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0979,1,,,,,,,,,,,,,,,,,,,,,,,
12-05-2025,Email,2,2,295.6054711,6.4,3,S0212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0980,1,,,,,,,,,,,,,,,,,,,,,,,
12-05-2025,Referral,2,3,450.9921999,2.4,4,S0213,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0986,0,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Organic,2,3,289.5477988,9.7,8,S0214,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0994,0,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Paid,1,2,44.12822517,5,16,S0215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0995,1,,,,,,,,,,,,,,,,,,,,,,,
04-05-2025,Social,2,3,575.0959826,5.5,2,S0216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0999,1,,,,,,,,,,,,,,,,,,,,,,,
14-05-2025,Referral,4,1,566.2073483,3.2,15,S0217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organic,186,,,,,,,,,,,,,,,,,,,,,,,
25-04-2025,Referral,3,1,473.2618305,5.2,4,S0218,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0010,1,,,,,,,,,,,,,,,,,,,,,,,
11-06-2025,Organic,4,2,594.8834619,7,15,S0219,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0014,1,,,,,,,,,,,,,,,,,,,,,,,
08-06-2025,Social,1,1,331.2445764,7.8,2,S0220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0015,1,,,,,,,,,,,,,,,,,,,,,,,
12-05-2025,Email,4,2,578.0333266,7.8,19,S0221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0030,1,,,,,,,,,,,,,,,,,,,,,,,
09-05-2025,Referral,3,2,54.60697396,6.2,14,S0222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0031,1,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Organic,4,1,225.7516415,9.1,2,S0223,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0035,1,,,,,,,,,,,,,,,,,,,,,,,
17-05-2025,Email,1,3,142.9749481,8.4,19,S0224,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0040,1,,,,,,,,,,,,,,,,,,,,,,,
15-04-2025,Social,2,1,125.5415196,7.8,13,S0225,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0042,1,,,,,,,,,,,,,,,,,,,,,,,
10-06-2025,Referral,4,1,93.07373985,1.5,15,S0226,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0054,1,,,,,,,,,,,,,,,,,,,,,,,
11-05-2025,Email,1,2,377.2240485,1.1,16,S0227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0058,1,,,,,,,,,,,,,,,,,,,,,,,
10-06-2025,Email,1,2,470.9798949,2.9,23,S0228,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0075,1,,,,,,,,,,,,,,,,,,,,,,,
05-06-2025,Email,3,2,351.1960557,7,19,S0229,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0077,1,,,,,,,,,,,,,,,,,,,,,,,
27-04-2025,Referral,3,2,96.70799866,4.7,22,S0230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0081,1,,,,,,,,,,,,,,,,,,,,,,,
25-05-2025,Referral,4,3,488.5630243,4.6,17,S0231,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0085,1,,,,,,,,,,,,,,,,,,,,,,,
17-04-2025,Paid,2,3,385.2132772,9,17,S0232,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0087,0,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Social,1,3,239.0177666,9.1,21,S0233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0088,1,,,,,,,,,,,,,,,,,,,,,,,
20-04-2025,Organic,4,2,407.7368744,9.2,13,S0234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0091,1,,,,,,,,,,,,,,,,,,,,,,,
22-04-2025,Email,1,2,163.3439378,3.8,17,S0235,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0094,0,,,,,,,,,,,,,,,,,,,,,,,
11-05-2025,Paid,1,2,213.663403,7.2,14,S0236,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0095,1,,,,,,,,,,,,,,,,,,,,,,,
23-04-2025,Organic,2,3,551.3166474,3.4,14,S0237,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0114,1,,,,,,,,,,,,,,,,,,,,,,,
21-05-2025,Paid,2,2,181.3976583,2.7,5,S0238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0118,1,,,,,,,,,,,,,,,,,,,,,,,
17-05-2025,Referral,4,1,287.2930782,2.7,14,S0239,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0119,1,,,,,,,,,,,,,,,,,,,,,,,
04-06-2025,Email,2,1,535.1832711,4.1,17,S0240,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0122,1,,,,,,,,,,,,,,,,,,,,,,,
26-05-2025,Organic,2,2,427.5555967,4.9,3,S0241,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0123,1,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Organic,4,1,46.69990344,8.5,22,S0242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0126,1,,,,,,,,,,,,,,,,,,,,,,,
08-05-2025,Organic,2,1,96.90879612,2.1,7,S0243,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0130,1,,,,,,,,,,,,,,,,,,,,,,,
29-04-2025,Organic,3,3,14.62653856,7.6,14,S0244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0135,1,,,,,,,,,,,,,,,,,,,,,,,
12-06-2025,Organic,1,2,382.2438562,5.8,2,S0245,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0139,1,,,,,,,,,,,,,,,,,,,,,,,
07-06-2025,Paid,1,2,274.127321,3.6,14,S0246,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0148,1,,,,,,,,,,,,,,,,,,,,,,,
16-05-2025,Email,1,3,89.22216203,5.4,12,S0247,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0149,1,,,,,,,,,,,,,,,,,,,,,,,
16-05-2025,Referral,1,1,575.1811314,3.7,8,S0248,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0154,1,,,,,,,,,,,,,,,,,,,,,,,
08-05-2025,Referral,4,1,322.4992371,6.4,1,S0249,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0164,1,,,,,,,,,,,,,,,,,,,,,,,
25-05-2025,Referral,1,2,152.7170435,4.9,23,S0250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0166,1,,,,,,,,,,,,,,,,,,,,,,,
05-06-2025,Referral,1,1,305.356107,2.5,7,S0251,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0178,1,,,,,,,,,,,,,,,,,,,,,,,
02-06-2025,Paid,1,3,410.9759963,2,19,S0252,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0180,1,,,,,,,,,,,,,,,,,,,,,,,
02-06-2025,Social,1,3,54.9811386,5.9,16,S0253,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0182,1,,,,,,,,,,,,,,,,,,,,,,,
11-06-2025,Email,3,2,172.0752509,9.1,12,S0254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0190,1,,,,,,,,,,,,,,,,,,,,,,,
05-06-2025,Organic,1,3,486.1096396,4.1,0,S0255,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0200,1,,,,,,,,,,,,,,,,,,,,,,,
26-04-2025,Social,3,3,281.2022735,7.6,1,S0256,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0202,0,,,,,,,,,,,,,,,,,,,,,,,
23-05-2025,Referral,4,2,332.4805138,6.9,14,S0257,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0203,1,,,,,,,,,,,,,,,,,,,,,,,
16-04-2025,Social,2,3,265.3614413,9.4,11,S0258,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0204,1,,,,,,,,,,,,,,,,,,,,,,,
17-04-2025,Email,1,3,35.90096616,8.4,13,S0259,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0207,1,,,,,,,,,,,,,,,,,,,,,,,
02-06-2025,Organic,2,3,107.7923701,6.1,1,S0260,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0214,1,,,,,,,,,,,,,,,,,,,,,,,
21-05-2025,Organic,2,1,272.8695669,6.9,17,S0261,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0219,1,,,,,,,,,,,,,,,,,,,,,,,
02-06-2025,Email,4,2,133.4194246,9.1,21,S0262,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0223,1,,,,,,,,,,,,,,,,,,,,,,,
09-06-2025,Email,2,2,39.48762691,4.6,6,S0263,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0234,1,,,,,,,,,,,,,,,,,,,,,,,
01-05-2025,Referral,3,2,507.7533018,3.9,22,S0264,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0237,1,,,,,,,,,,,,,,,,,,,,,,,
12-06-2025,Organic,2,1,588.9035922,1.1,5,S0265,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0241,1,,,,,,,,,,,,,,,,,,,,,,,
02-06-2025,Social,2,1,477.9542957,8.4,13,S0266,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0242,0,,,,,,,,,,,,,,,,,,,,,,,
16-04-2025,Paid,2,2,513.7331038,8.2,7,S0267,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0243,1,,,,,,,,,,,,,,,,,,,,,,,
16-04-2025,Paid,1,1,152.7665069,1.9,21,S0268,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0244,0,,,,,,,,,,,,,,,,,,,,,,,
12-05-2025,Email,1,2,576.7699156,6.2,1,S0269,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0245,1,,,,,,,,,,,,,,,,,,,,,,,
07-06-2025,Referral,3,1,126.1861656,5.2,16,S0270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0255,1,,,,,,,,,,,,,,,,,,,,,,,
07-05-2025,Paid,3,3,571.3435881,2.1,4,S0271,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0260,1,,,,,,,,,,,,,,,,,,,,,,,
21-05-2025,Organic,1,3,596.9433834,9.8,13,S0272,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0261,1,,,,,,,,,,,,,,,,,,,,,,,
16-05-2025,Email,3,2,429.9164554,2.9,23,S0273,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0265,1,,,,,,,,,,,,,,,,,,,,,,,
17-05-2025,Social,1,1,588.8748018,1.6,19,S0274,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0272,1,,,,,,,,,,,,,,,,,,,,,,,
15-04-2025,Email,4,1,346.0284699,6.4,20,S0275,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0302,1,,,,,,,,,,,,,,,,,,,,,,,
03-05-2025,Social,2,3,163.1296521,7.6,20,S0276,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0303,1,,,,,,,,,,,,,,,,,,,,,,,
16-04-2025,Email,2,3,267.8275725,1.3,21,S0277,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0313,1,,,,,,,,,,,,,,,,,,,,,,,
06-06-2025,Email,3,1,360.2009519,6.9,2,S0278,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0316,1,,,,,,,,,,,,,,,,,,,,,,,
28-05-2025,Email,1,1,53.1181216,5.8,4,S0279,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0319,1,,,,,,,,,,,,,,,,,,,,,,,
10-05-2025,Social,1,1,377.1825261,1.9,15,S0280,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0321,1,,,,,,,,,,,,,,,,,,,,,,,
16-05-2025,Social,3,1,588.8949237,2.6,17,S0281,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0326,1,,,,,,,,,,,,,,,,,,,,,,,
20-04-2025,Email,1,1,122.1635134,6.1,16,S0282,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0327,1,,,,,,,,,,,,,,,,,,,,,,,
16-05-2025,Paid,4,1,477.6311186,3.7,10,S0283,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0330,1,,,,,,,,,,,,,,,,,,,,,,,
08-06-2025,Referral,2,2,545.6602883,9.4,16,S0284,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0332,1,,,,,,,,,,,,,,,,,,,,,,,
18-04-2025,Referral,3,1,566.7839398,8.4,15,S0285,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0335,1,,,,,,,,,,,,,,,,,,,,,,,
08-06-2025,Referral,3,3,576.4800066,9.9,22,S0286,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0338,1,,,,,,,,,,,,,,,,,,,,,,,
25-04-2025,Social,1,2,317.6611868,3.3,1,S0287,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0341,0,,,,,,,,,,,,,,,,,,,,,,,
09-06-2025,Social,3,1,586.6116657,9.7,3,S0288,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0349,1,,,,,,,,,,,,,,,,,,,,,,,
12-06-2025,Paid,4,3,456.8130222,4.9,20,S0289,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0355,1,,,,,,,,,,,,,,,,,,,,,,,
01-05-2025,Referral,1,2,105.3861474,4.1,6,S0290,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0358,1,,,,,,,,,,,,,,,,,,,,,,,
22-05-2025,Referral,1,3,291.3710628,1.5,1,S0291,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0359,1,,,,,,,,,,,,,,,,,,,,,,,
08-05-2025,Email,1,1,433.8153935,1.5,5,S0292,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0366,0,,,,,,,,,,,,,,,,,,,,,,,
19-04-2025,Social,1,1,155.9307863,7.2,16,S0293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0367,0,,,,,,,,,,,,,,,,,,,,,,,
05-06-2025,Referral,4,1,387.9629583,5.1,6,S0294,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0369,1,,,,,,,,,,,,,,,,,,,,,,,
18-05-2025,Paid,1,1,403.2942826,3,4,S0295,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0370,1,,,,,,,,,,,,,,,,,,,,,,,
20-04-2025,Paid,3,2,105.9928488,6.5,4,S0296,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0374,1,,,,,,,,,,,,,,,,,,,,,,,
06-05-2025,Referral,4,2,343.4003343,3.3,19,S0297,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0375,1,,,,,,,,,,,,,,,,,,,,,,,
25-04-2025,Social,2,3,465.2598775,6.2,15,S0298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0381,1,,,,,,,,,,,,,,,,,,,,,,,
01-06-2025,Paid,2,1,304.3484421,4.2,18,S0299,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0386,1,,,,,,,,,,,,,,,,,,,,,,,
30-04-2025,Email,3,3,17.1408389,8.4,8,S0300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S0391,1,,,,,,,,,,,,,,,,,,,,,,,
